2018-01-31,0,1271,48387
2018-02-28,0,1156,49898
2018-03-31,0,1404,60126
2018-04-30,0,1159,54477
2018-05-31,888,1336,70774
2018-06-30,4247,1975,94704
2018-07-31,3627,1534,85612
2018-08-31,9246,1882,99333
2018-09-30,7951,2088,99851
2018-10-31,3731,2106,115741
2018-11-30,9418,2070,122188
2018-12-31,5234,2911,133921
2019-01-31,5502,2753,166907
2019-02-28,5139,3000,152709
2019-03-31,6385,3528,180793
2019-04-30,6849,3553,186867
2019-05-31,6818,3867,189401
2019-06-30,6519,4125,203126
2019-07-31,7554,5004,206579
